
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1966"	"16.264"	"4.561"	"29.98"	"147.215"	"343.273"	"1274.736"	"522.601"	"727.284"	"272.196"	"72.947"	"57.435"	"5.773"
"1967"	"8.091"	"12.116"	"140.932"	"233.208"	"419.76"	"392.63"	"571.086"	"425.159"	"512.144"	"59.106"	"28.243"	"0.778"
"1968"	"6.384"	"7.391"	"58.856"	"233.958"	"715.976"	"925.681"	"740.478"	"491.962"	"199.902"	"171.97"	"0.95"	"0.045"
"1969"	"19.479"	"0.214"	"87.867"	"148.672"	"190.942"	"883.106"	"768.228"	"657.829"	"335.198"	"111.264"	"33.395"	"0.4"
"1970"	"25.151"	"21.461"	"104.134"	"209.66"	"532.677"	"994.607"	"1044.109"	"674.555"	"415.395"	"390.402"	"36.251"	"0"
"1971"	"12.276"	"4.417"	"66.575"	"217.152"	"166.408"	"675.956"	"663.954"	"654.295"	"237.731"	"208.09"	"118.983"	"5.543"
"1972"	"6.957"	"33.271"	"108.073"	"304.698"	"412.337"	"787.256"	"626.557"	"422.458"	"219.355"	"65.978"	"15.69"	"0.305"
"1973"	"7.867"	"47.599"	"31.039"	"338.327"	"618.737"	"819.05"	"607.223"	"298.464"	"505.873"	"152.213"	"110.066"	"42.602"
"1974"	"16.827"	"0.573"	"52.163"	"384.842"	"405.799"	"903.541"	"1594.267"	"666.312"	"919.486"	"478.457"	"7.339"	"0.238"
"1975"	"5.107"	"7.3"	"18.601"	"257.201"	"515.635"	"574.421"	"934.332"	"383.669"	"384.167"	"295.703"	"7.866"	"1.075"
"1976"	"4.119"	"25.08"	"163.835"	"244.9"	"233.669"	"914.929"	"546.744"	"605.466"	"190.043"	"106.426"	"11.629"	"0.56"
"1977"	"8.38"	"13.938"	"149.33"	"597.046"	"571.797"	"865.392"	"1057.994"	"702.397"	"182.052"	"401.14"	"46.202"	"11.879"
"1978"	"0.198"	"6.372"	"29.051"	"115.841"	"422.606"	"762.747"	"657.111"	"380.053"	"381.099"	"86.717"	"45.08"	"0"
"1979"	"1.078"	"9.57"	"23.785"	"112.771"	"507.864"	"523.209"	"906.031"	"279.38"	"436.924"	"379.963"	"21.621"	"44.155"
"1980"	"1.249"	"27.868"	"64.396"	"133.812"	"354.631"	"585.748"	"515.63"	"545.136"	"140.015"	"115.167"	"0.32"	"0"
"1981"	"28.073"	"15.034"	"73.832"	"133.177"	"408.601"	"185.284"	"555.447"	"486.315"	"362.234"	"13.683"	"0.803"	"38.784"
"1982"	"0.012"	"13.566"	"41.993"	"323.437"	"301.811"	"791.298"	"592.771"	"684.103"	"399.337"	"90.265"	"59.187"	"1.257"
"1983"	"9.803"	"48.894"	"79.454"	"230.737"	"463.062"	"527.264"	"677.618"	"598.013"	"588.236"	"273.068"	"0.605"	"18.383"
"1984"	"17.873"	"1.74"	"36.27"	"289.2"	"970.578"	"928.806"	"1127.112"	"352.095"	"754.269"	"148.048"	"22.517"	"20.802"
"1985"	"1.969"	"31.445"	"161.66"	"298.524"	"362.943"	"673.855"	"1031.182"	"373.68"	"440.424"	"31.3"	"4.038"	"20.082"
"1986"	"4.401"	"2.95"	"14.268"	"398.361"	"149.828"	"455.767"	"514.288"	"499.099"	"421.425"	"400.452"	"54.258"	"10.772"
"1987"	"10.87"	"20.545"	"159.635"	"383.53"	"260.093"	"376.557"	"1090.97"	"516.854"	"652.38"	"195.225"	"13.741"	"3.178"
"1988"	"9.179"	"38.159"	"94.465"	"231.074"	"933.234"	"706.079"	"891.032"	"1012.313"	"430.232"	"238.162"	"126.27"	"26.924"
"1989"	"7.774"	"65.451"	"15.383"	"353.6"	"300.859"	"779.147"	"1073.441"	"437.058"	"705.961"	"285.349"	"9.733"	"4.334"
"1990"	"5.478"	"29.324"	"107.057"	"527.056"	"242.918"	"495.266"	"1112.007"	"181.936"	"516.045"	"308.513"	"5.485"	"0.909"
"1991"	"29.439"	"13.056"	"80.93"	"213.276"	"971.426"	"505.485"	"501.9"	"738.447"	"383.255"	"659.929"	"1.957"	"18.868"
"1992"	"9.746"	"31.895"	"30.474"	"167.132"	"528.226"	"847.262"	"841.831"	"776.514"	"394.7"	"129.016"	"8.31"	"19.565"
"1993"	"36.919"	"59.409"	"125.331"	"234.244"	"612.617"	"1104.625"	"839.174"	"794.147"	"520.279"	"67.299"	"2.354"	"0"
"1994"	"17.763"	"34.037"	"155.12"	"259.409"	"350.156"	"790.784"	"474.098"	"676.236"	"136.29"	"184.986"	"11.004"	"0.628"
"1995"	"12.979"	"21.178"	"37.734"	"168.495"	"278.251"	"830.342"	"947.27"	"431.184"	"599.619"	"47.849"	"102.701"	"3.515"
"1996"	"8.087"	"29.459"	"113.693"	"165.634"	"827.198"	"486.539"	"848.416"	"617.2"	"210.526"	"244.831"	"0.304"	"0"
"1997"	"11.161"	"20.793"	"37.968"	"221.028"	"382.272"	"533.967"	"538.629"	"460.049"	"489.766"	"22.806"	"5.667"	"34.233"
"1998"	"4.152"	"38.12"	"146"	"197.788"	"400.44"	"404.45"	"704.953"	"629.56"	"350.859"	"303.239"	"40.567"	"0"
"1999"	"0.019"	"0.327"	"19.109"	"55.739"	"574.426"	"609.597"	"760.752"	"710.698"	"338.587"	"275.192"	"39.688"	"1.118"
"2000"	"11.692"	"19.662"	"67.399"	"188.527"	"747.992"	"611.646"	"459.259"	"810.962"	"351.419"	"101.688"	"4.394"	"2.735"
"2001"	"2.007"	"15.759"	"26.642"	"250.313"	"591.114"	"730.286"	"541.218"	"516.757"	"411.892"	"315.97"	"21.678"	"0.141"
"2002"	"17.26"	"7.355"	"113.009"	"422.448"	"433.631"	"972.116"	"748.059"	"422.331"	"260.367"	"78.074"	"57.941"	"0.031"
